,反应物,生成物
1229,\u03b4 BaCO3 + 0.5 Fe2O3 + 1 MnO2 + 6.75-0.5*\u03b4 O2 + 1 TiO2 ,1 Ba(MnTi)\u03b4Fe(12-2\u03b4)O19 + \u03b4 CO2
1230,1 BaCO3 + 0.5*\u03b4 CoCO3 + 0.5 Fe2O3 + 0.1 MnO2 + 8.15-0.75*\u03b4 O2 + 0.5*\u03b4 TiO2 ,1 BaCo0.5\u03b4Ti0.5\u03b4Mn0.1Fe(11.87-\u03b4)O19 + 1+0.5*\u03b4 CO2
1231,\u03b4 BaCO3 + 0.5 Fe2O3 + 1 MnO2 + 6.75-0.5*\u03b4 O2 + 1 TiO2 ,1 Ba(MnTi)\u03b4Fe(12-2\u03b4)O19 + \u03b4 CO2
1232,1 Fe2O3 + 1 NiO ,1 NiFe2O4
1233,0.04 MnCO3 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.04 CO2; M = Mn
1234,0.02 Fe2O3 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.01 O2; M = Fe
1235,0.013 Co3O4 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.007 O2; M = Co
1236,0.04 MnCO3 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.04 CO2; M = Mn
1237,0.02 Fe2O3 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.01 O2; M = Fe
1238,0.013 Co3O4 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.007 O2; M = Co
1239,0.5*x Al2O3 + 2.5-0.5*x Fe2O3 + 1.5 Y2O3 ,1 Y3Fe5-xAlxO12
1240,2.5-x Fe(NO3)3 + 0.5 LiNO3 + x Mn(NO3)7 + 8+4*x [OH-] ,1 Li0.5Fe2.5-xMnxO4 + 4+2*x H2O + x O2 + 8+4*x [NO3-]
1241,0.04 MnCO3 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.04 CO2; M = Mn
1242,0.02 Fe2O3 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.01 O2; M = Fe
1243,0.013 Co3O4 + 0.96 ZnO ,1 Zn0.96M0.04O + 0.007 O2; M = Co
1244,0.75 La(NO3)3 + 1 Mn(NO3)2 + 0.312 O2 + 0.25 Sr(NO3)2 + 4.75 [OH-] ,1 La0.75Sr0.25MnO3 + 2.375 H2O + 4.75 [NO3-]
1245,1 Mn(CH3COO)2 + 0.4 Nd2O3 + 0.3 O2 + 0.2 Sr(NO3)2 + 2.4 [OH-] ,1 Nd0.8Sr0.2MnO3 + 1.2 H2O + 2 [CH3COO-] + 0.4 [NO3-]
1246,0.25 Fe2O3 + 0.25 Nb2O5 + 1 PbO ,1 Pb(Fe1/2Nb1/2)O3
1247,x HoS + 1-x MnS ,1 Mn1-xHoxS
1248,0.018 CuO + 0.334 La2O3 + 0.982 MnCO3\u00b7nH2O + 0.333 O2 + 0.333 SrCO3 ,1 La2/3Sr1/3Mn0.982Cu0.018O3 + 1.315 CO2 + 0.982*n H2O
1249,0.5*x Ga2O3 + 1-x MnO2 + 0.35+0.25*x O2 + 0.3 SrCO3 ,1 (Sr)0.3Mn1-xGaxO3 + 0.3 CO2
1250,1 Bi(NO3)3\u00b75H2O + 1 Fe(NO3)3\u00b79H2O + 6 [OH-] ,1 BiFeO3 + 17 H2O + 6 [NO3-]
1251,0.104 CuO + 0.96 Fe2O3 + 0.499 NiO + 0.437 ZnO ,1 (Ni0.48Cu0.10Zn0.42O)1.04(Fe2O3)0.96
1252,0.05 Al2O3 + 1 BaCO3 + 5.95 Fe2O3 ,1 BaFe11.9Al0.1O19 + 1 CO2
1253,1 Li2CO3 + 1 NiO + 2 WO3 ,1 Li2Ni(WO4)2 + 1 CO2
1254,100-x NaPO3 + x SnO ,1 xSnO-(100-x)NaPO3
1255,0.35 La2O3 + 1 MnO2 + 0.3 SrCO3 ,1 La0.7Sr0.3MnO3 + 0.3 CO2 + 0.175 O2
1256,2-x BaCO3 + 0.5 Fe2O3 + 1 MoO3 + 0.167*x Pr6O11 ,1 Ba2-xPrxFeMoO6 + 2-x CO2 + 0.25+0.417*x O2
1257,2 Fe2O3 + 3 V2O5 + 3 ZnO ,1 Zn3Fe4V6O24
1258,3 Fe2O3 + 6 O2 + 3 V2O5 + 3 ZnO ,1 ZnO+3V2O5+2Fe2O3
1259,2 Fe2O3 + 3 V2O5 + 3 ZnO ,1 Zn3Fe4V6O24
1260,3 Fe2O3 + 6 O2 + 3 V2O5 + 3 ZnO ,1 ZnO+3V2O5+2Fe2O3
1261,13.7+x Fe2O3 + 86 NH4H2PO4 + 43.3-x PbO ,1 (43.3-x)PbO-(x+13.7)Fe2O3-43P2O5 + 129 H2O + 86 NH3
1262,3.2 Bi(NO3)\u00b75H2O + 3 CaCO3 + 4 CuO + 0.8 PbO + 3 Sr(NO3)2 + 9.2 [OH-] ,1 (Bi0.8Pb0.2)4Sr3Ca3Cu4O + 3 CO2 + 20.6 H2O + 5.7 O2 + 9.2 [NO3-]
1263,0.5 Cs2CO3 + 0.25 MgO + 1.75 WO3 ,1 Cs(Mg0.25W1.75)O6 + 0.5 CO2
1264,1 Fe2O3 + 2 NH4H2PO4 + 1 ZnO ,1 ZnO-Fe2O3-P2O5 + 3 H2O + 2 NH3
1265,7.12 Al2O3 + 13.38 Li2CO3 + 79.5 SiO2 ,1 13.38Li2O-7.12Al2O3-79.5SiO2 + 13.38 CO2
1266,10 Ba(PO3)2 + 10 Na2CO3 + 40 NaPO3 + x Nb2O5 + 30-x WO3 ,1 30Na2O-10BaO-30P2O5-(30-x)WO3-xNb2O5 + 10 CO2
1267,3.2 Bi(NO3)\u00b75H2O + 3 CaCO3 + 4 CuO + 1.8 O2 + 0.8 PbO + 3 Sr(NO3)2 + 9.2 [OH-] ,1 (Bi0.8Pb0.2)4Sr3Ca3Cu4O16 + 3 CO2 + 20.6 H2O + 9.2 [NO3-]
1268,1 Na2CO3 + 1 SiO2 ,1 Na2SiO3 + 1 CO2
1269,1 Na2CO3 + 2 SiO2 ,1 Na2Si2O5 + 1 CO2
1270,3 Na2CO3 + 8 SiO2 ,1 Na6Si8O19 + 3 CO2
1271,2 SiO2 + 2 SrCO3 + 1 TiO2 ,1 Sr2TiSi2O8 + 2 CO2
1272,1 Na2CO3 + 1 SiO2 ,1 Na2SiO3 + 1 CO2
1273,1 Na2CO3 + 2 SiO2 ,1 Na2Si2O5 + 1 CO2
1274,3 Na2CO3 + 8 SiO2 ,1 Na6Si8O19 + 3 CO2
1275,1 Na2CO3 + 1 SiO2 ,1 Na2SiO3 + 1 CO2
1276,1 Na2CO3 + 2 SiO2 ,1 Na2Si2O5 + 1 CO2
1277,3 Na2CO3 + 8 SiO2 ,1 Na6Si8O19 + 3 CO2
1278,1 B2O3 + 1 Li2CO3 + 1 SiO2 ,1 Li2O-B2O3-SiO2 + 1 CO2
1279,x GeO2 + 10 K2CO3 + 10 Nb2O5 + 80-x TeO2 ,1 (80-x)TeO2-xGeO2-10Nb2O5-10K2O + 10 CO2
1280,1 CaCO3 + 2 NaPO3 + 1 SiO2 ,1 SiO2-Na2O-CaO-P2O5 + 1 CO2
1281,1 La2O3 + 2 ZrO2 ,1 La2Zr2O7
1282,x CuO + 2 TeO2 + 100-x ZnO ,1 xCuO-(100-x)ZnO-2TeO2
1283,1 Gd2O3 + 1 UO2 ,1 UO2-Gd2O3
1284,1 BaCO3 + 1 Mn2O3 + 0.25 O2 + 0.5 Pr2O3 ,1 PrBaMn2O6 + 1 CO2
1285,1 BaCO3 + 2 MnCO3 + 0.625 O2 + 0.25 Tb4O7 ,1 TbBaMn2O6 + 3 CO2
1286,0.333 Fe3O4 + 2 GeO2 + 0.167 Pr6O11 ,1 FePrGe2O7 + 0.083 O2
1287,0.333 Fe3O4 + 2 GeO2 + 0.25 Tb4O7 ,1 FeTbGe2O7 + 0.042 O2
1288,0.333 Fe3O4 + 2 GeO2 + 0.167 Pr6O11 ,1 FePrGe2O7 + 0.083 O2
1289,0.333 Fe3O4 + 2 GeO2 + 0.25 Tb4O7 ,1 FeTbGe2O7 + 0.042 O2
1290,1 BaO2 + 1 CuO ,1 BaCuO2 + 0.5 O2
1291,2 CaO + 1 CuO ,1 Ca2CuO3
1292,2 BaO2 + 2 CaO + 3 CuO ,1 Ba2Ca2Cu3O7 + 1 O2
1293,1-x CaCO3 + 0.004*x NpO2 + 1 TiO2 ,1 (Ca1-xNpx)TiO3 + 1-x CO2 + 0.5*x O2
1294,x Al2O3 + 1-x CaCO3 + 0.004*x NpO2 + 1-2*x TiO2 ,1 (Ca1-xNpx)(Ti1-2xAl2x)O3 + 1-x CO2
1295,1 BaO2 + 1 CuO ,1 BaCuO2 + 0.5 O2
1296,2 CaO + 1 CuO ,1 Ca2CuO3
1297,2 BaO2 + 2 CaO + 3 CuO ,1 Ba2Ca2Cu3O7 + 1 O2
1298,1 BaO2 + 1 CuO ,1 BaCuO2 + 0.5 O2
1299,2 CaO + 1 CuO ,1 Ca2CuO3
1300,2 BaO2 + 2 CaO + 3 CuO ,1 Ba2Ca2Cu3O7 + 1 O2
1301,1-x BaCO3 + y CeO2 + 0.5*x La2O3 + 1-y-0.25*x TiO2 ,1 (Ba1-xLax)(Ti1-x/4-yCey)O3 + 1-x CO2
1302,2 H3BO3 + 1 La2O3 + 1 MoO3 ,1 MoO3-La2O3-B2O3 + 3 H2O
1303,35 In + 45 Sb + 20-x Se + x Te ,1 In35Sb45Se20-xTex
1304,0.5 Li2CO3 + 2 MnCO3 + 0.75 O2 ,1 LiMn2O4 + 2.5 CO2
1305,0.5*x Li2CO3 + 0.5-0.5*x Na2CO3 + 0.5 Nb2O5 ,1 Na1-xLixNbO3 + 0.5 CO2
1306,1 Al2O3 + 1 B2O3 + 1 CaCO3 + 1 SiO2 ,1 SiO2-CaO-B2O3-Al2O3 + 1 CO2
1307,1 CoO + 1 LiH2PO4 ,1 LiCoPO4 + 1 H2O
1308,1 CaCO3 + 1 MnO2 + 1 P2O5 ,1 CaMnP2O7 + 1 CO2 + 0.5 O2
1309,2 MnO2 + 1 O2 + 3 P2O5 ,1 Mn2(P2O7)3
1310,2 MnO2 + 1 P2O5 ,1 Mn2P2O7 + 1 O2
1311,0.333 Co(CH3COO)2\u00b74H2O + 1 LiNO3 + 0.333 Mn(CH3COO)2\u00b74H2O + 0.333 Ni(CH3COO)2\u00b74H2O + 0.25 O2 + 2.998 [OH-] ,1 LiNi1/3Mn1/3Co1/3O2 + 5.495 H2O + 1.998 [CH3COO-] + 1 [NO3-]
1312,2 C + 1 Si + 3 Ti ,1 Ti3SiC2
1313,1 LiOH + 0.333 Mn(CH3COO)2\u00b74H2O + 0.667 Ni(CH3COO)2\u00b74H2O + 0.25 O2 + 2 [OH-] ,1 Li(Ni2/3Mn1/3O2) + 5.5 H2O + 2 [CH3COO-]
1314,0.333-0.333*y Co3O4 + 0.5*y Mn2O3 + 0.3 Nd2O3 + 0.183-0.083*y O2 + 0.4 SrCO3 ,1 Nd0.6Sr0.4Co1-yMnyO3 + 0.4 CO2
1315,0.4 Ga2O3 + 0.4 La2O3 + 0.2 MgO + 0.2 SrCO3 ,1 La0.8Sr0.2Ga0.8Mg0.2O2.8 + 0.2 CO2
1316,0.5 Li2CO3 + 2 MnO2 ,1 LiMn2O4 + 0.5 CO2 + 0.25 O2
1317,0.333-0.333*y Co3O4 + 0.5*y Mn2O3 + 0.3 Nd2O3 + 0.183-0.083*y O2 + 0.4 SrCO3 ,1 Nd0.6Sr0.4Co1-yMnyO3 + 0.4 CO2
1318,0.4 Ga2O3 + 0.4 La2O3 + 0.2 MgO + 0.2 SrCO3 ,1 La0.8Sr0.2Ga0.8Mg0.2O2.8 + 0.2 CO2
1319,0.5 Li2CO3 + 2-x MnO2 + x NiO ,1 LiMn2-xNixO4 + 0.5 CO2 + 0.25-0.5*x O2
1320,0.6 CeO2 + 0.2 La2O3 ,1 La0.4Ce0.6O1.8
1321,1 LiOH + 2 MnO2 ,1 LiMn2O4 + 0.5 H2O + 0.25 O2
1322,0.6 CeO2 + 0.2 La2O3 ,1 La0.4Ce0.6O1.8
1323,0.9 Ce(NO3)3\u00b76H2O + 0.1 Gd(NO3)3\u00b76H2O + 0.225 O2 + 3 [OH-] ,1 Ce0.9Gd0.1O1.95 + 7.5 H2O + 3 [NO3-] ; target Ce0.9Gd0.1O1.95 with additives Mg via Mg(NO3)2\u00b76H2O ; target Ce0.9Gd0.1O1.95 with additives Mg via Mg(NO3)2\u00b76H2O
1324,1 Ba(NO3)2 + 1 Cu(NO3)2 + 1 Fe(NO3)3 + 1 Pr(NO3)3 + 10 [OH-] ,1 PrBaCuFeO5 + 5 H2O + 10 [NO3-]
1325,1 Ba(NO3)2 + 0.7 Ce(NO3)3 + 0.225 O2 + 0.2 Y(NO3)3 + 0.1 Zr(NO3)4 + 5.1 [OH-] ,1 BaZr0.1Ce0.7Y0.2O3 + 2.55 H2O + 5.1 [NO3-]
1326,1 Ba(NO3)2 + 1 Cu(NO3)2 + 1 Fe(NO3)3 + 1 Pr(NO3)3 + 10 [OH-] ,1 PrBaCuFeO5 + 5 H2O + 10 [NO3-]
1327,1 Ba(NO3)2 + 0.7 Ce(NO3)3 + 0.225 O2 + 0.2 Y(NO3)3 + 0.1 Zr(NO3)4 + 5.1 [OH-] ,1 BaZr0.1Ce0.7Y0.2O3 + 2.55 H2O + 5.1 [NO3-]
1328,1 Ba(NO3)2 + 2 Co(NO3)3 + 1 Pr(NO3)3 + 11 [OH-] ,1 PrBaCo2O5 + 5.5 H2O + 0.25 O2 + 11 [NO3-]
1329,1 Ba(NO3)2 + 0.7 Ce(NO3)3 + 0.225 O2 + 0.2 Y(NO3)3 + 0.1 Zr(NO3)4 + 5.1 [OH-] ,1 BaZr0.1Ce0.7Y0.2O3 + 2.55 H2O + 5.1 [NO3-]
1330,0.84 La(NO3)3\u00b76H2O + 1 Mn(NO3)2\u00b74H2O + 0.29 O2 + 0.16 Sr(NO3)2 + 4.84 [OH-] ,1 La0.84Sr0.16MnO3 + 11.46 H2O + 4.84 [NO3-]
1331,1 Ba(NO3)2 + 2 Co(NO3)3 + 1 Pr(NO3)3 + 11 [OH-] ,1 PrBaCo2O5 + 5.5 H2O + 0.25 O2 + 11 [NO3-]
1332,1 Ba(NO3)2 + 0.7 Ce(NO3)3 + 0.225 O2 + 0.2 Y(NO3)3 + 0.1 Zr(NO3)4 + 5.1 [OH-] ,1 BaZr0.1Ce0.7Y0.2O3 + 2.55 H2O + 5.1 [NO3-]
1333,2+x Mg + x Mn + 1+x Ni ,1 (1-x)Mg2Ni-xMg3MnNi2
1334,0.8 Co(NO3)2 + 0.2 Cu(NO3)2 + 0.6 La(NO3)3 + 0.35 O2 + 0.4 Sr(NO3)2 + 4.6 [OH-] ,1 La0.6Sr0.4Co0.8Cu0.2O3 + 2.3 H2O + 4.6 [NO3-]
1335,0.8 Ce(NO3)3 + 0.2 O2 + 0.2 Sm(NO3)3 + 3 [OH-] ,1 Sm0.2Ce0.8O1.9 + 1.5 H2O + 3 [NO3-]
1336,0.9 Ce(NO3)3\u00b76H2O + 0.1-0.1*x Nd(NO3)3\u00b76H2O + 0.225 O2 + 0.1*x Sm(NO3)3\u00b76H2O + 3 [OH-] ,1 Ce0.9(SmxNd1-x)0.1O1.95 + 7.5 H2O + 3 [NO3-]
1337,1-x Ce(NO3)3\u00b76H2O + 0.5*x Nd(NO3)3\u00b76H2O + 0.5*x Sm(NO3)3\u00b76H2O + 3 [OH-] ,1 Ce1-x(Sm0.5Nd0.5)xO + 7.5 H2O + 0.25 O2 + 3 [NO3-]
1338,0.8 Co(NO3)2 + 0.2 Cu(NO3)2 + 0.6 La(NO3)3 + 0.35 O2 + 0.4 Sr(NO3)2 + 4.6 [OH-] ,1 La0.6Sr0.4Co0.8Cu0.2O3 + 2.3 H2O + 4.6 [NO3-]
1339,0.8 Ce(NO3)3 + 0.2 O2 + 0.2 Sm(NO3)3 + 3 [OH-] ,1 Sm0.2Ce0.8O1.9 + 1.5 H2O + 3 [NO3-]
1340,0.5 Ba(NO3)2 + 0.8 Co(NO3)2\u00b76H2O + 0.2 Fe(NO3)3\u00b79H2O + 0.45 O2 + 0.5 Sr(NO3)2 + 4.2 [OH-] ,1 Ba0.5Sr0.5Co0.8Fe0.2O3 + 8.7 H2O + 4.2 [NO3-]
1341,0.5*x Ga2O3 + 2 H3PO4 + 0.25*x O2 + 1-x SnO2 ,1 Sn1-xGaxP2O7 + 3 H2O
1342,1 Ba(NO3)2\u00b79H2O + 2 Fe(NO3)3\u00b75H2O + 0.167 Pr6O11 + 8 [OH-] ,1 PrBaFe2O5 + 23 H2O + 0.417 O2 + 8 [NO3-]
1343,1 Na2CO3 + 3 TiO2 ,1 Na2Ti3O7 + 1 CO2
1344,0.05 Al(OH)3 + 1.1 LiOH + 0.617 Mn3O4 + 0.454 O2 ,1 Li1.1Al0.05Mn1.85O4 + 0.625 H2O
1345,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.4 Ni(NO3)2\u00b76H2O + 0.25 O2 + 0.5 Sm2O3 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Sm
1346,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.5 Nd2O3 + 0.4 Ni(NO3)2\u00b76H2O + 0.25 O2 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Nd
1347,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.4 Ni(NO3)2\u00b76H2O + 0.083 O2 + 0.167 Pr6O11 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Pr
1348,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.4 Ni(NO3)2\u00b76H2O + 0.25 O2 + 0.5 Sm2O3 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Sm
1349,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.5 Nd2O3 + 0.4 Ni(NO3)2\u00b76H2O + 0.25 O2 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Nd
1350,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.4 Ni(NO3)2\u00b76H2O + 0.083 O2 + 0.167 Pr6O11 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Pr
1351,3 NH4H2PO4 + 1.5 Na2CO3 + 1 V2O5 ,1 Na3V2(PO4)3 + 1.5 CO2 + 4.5 H2O + 3 NH3 + 1 O2
1352,1 LiOH\u00b7H2O + 1 Mn2O3 + 0.25 O2 ,1 LiMn2O4 + 1.5 H2O
1353,0.5 Cr2O3 + 0.5 Na2CO3 ,1 NaCrO2 + 0.5 CO2
1354,0.1 Li2CO3 + 0.4 Mn2O3 + 0.3 Na2CO3 + 0.2 O2 ,1 Na0.6(Li0.2Mn0.8)O2 + 0.4 CO2
1355,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.4 Ni(NO3)2\u00b76H2O + 0.25 O2 + 0.5 Sm2O3 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Sm
1356,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.5 Nd2O3 + 0.4 Ni(NO3)2\u00b76H2O + 0.25 O2 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Nd
1357,1 Ba(NO3)2 + 1.6 Co(NO3)2\u00b76H2O + 0.4 Ni(NO3)2\u00b76H2O + 0.083 O2 + 0.167 Pr6O11 + 6 [OH-] ,1 LnBaCo1.6Ni0.4O5 + 15 H2O + 6 [NO3-]; Ln = Pr
1358,1.231 LiNO3 + 0.615 Mn(CH3COO)2\u00b74H2O + 0.154 Ni(CH3COO)2\u00b74H2O + 0.308 O2 + 2.769 [OH-] ,1 Li1.231Mn0.615Ni0.154O2 + 4.46 H2O + 1.538 [CH3COO-] + 1.231 [NO3-]
1359,0.333 Co3O4 + 0.5 Li2CO3 + 0.083 O2 ,1 LiCoO2 + 0.5 CO2
1360,0.4 CuO + 0.6 Ni(NO3)2\u00b76H2O + 0.333-0.167*x Pr6O11 + x SrCO3 + 1.2 [OH-] ,1 Pr2-xSrxNi0.6Cu0.4O4 + x CO2 + 4.2 H2O + 0.333-0.417*x O2 + 1.2 [NO3-]
1361,1 Ba(NO3)2 + 0.667 Co(NO3)2\u00b76H2O + 0.667 Cu(NO3)2\u00b73H2O + 0.667 Fe(NO3)3\u00b79H2O + 0.5 Nd2O3 + 0.083 O2 + 6.669 [OH-] ,1 NdBaCo2/3Fe2/3Cu2/3O5 + 15.34 H2O + 6.669 [NO3-]
1362,0.333 Co3O4 + 0.083 Li2CO3 + 0.083 O2 ,1 LiCoO2 + 0.5 CO2
1363,0.13 Co(CH3COO)2\u00b74H2O + 1.2 Li(CH3COO)\u00b72H2O + 0.54 Mn(CH3COO)2\u00b74H2O + 0.13 Ni(CH3COO)2\u00b74H2O + 0.3 O2 + 2.8 [OH-] ,1 Li1.2Ni0.13Mn0.54Co0.13O2 + 7 H2O + 2.8 [CH3COO-]
1364,0.5*x Li2CO3 + 2 MnO2 ,1 LixMn2O4 + 0.5*x CO2 + 0.25*x O2
1365,0.5 Fe2O3 + 0.5 Y2O3 ,1 YFeO3
1366,2.5 Fe2O3 + 1.5 Y2O3 ,1 Y3Fe5O12
1367,0.09 Li2CO3 + 0.25 Nb2O5 + 0.66 SrCO3 + 0.5 TiO2 ,1 Li0.18Sr0.66Ti0.5Nb0.5O3 + 0.75 CO2
1368,1 CeO2 + 1 SrCO3 ,1 SrCeO3 + 1 CO2
1369,0.5 Fe2O3 + 0.5 Y2O3 ,1 YFeO3
1370,2.5 Fe2O3 + 1.5 Y2O3 ,1 Y3Fe5O12
1371,0.5 Al2O3 + 1 CeO2 ,1 CeAlO3 + 0.25 O2
1372,2 B2O3 + 3 SrCO3 + 1 Y2O3 ,1 Sr3Y2(BO3)4 + 3 CO2
1373,0.167 O2 + 1 PbO + 0.333 U3O8 + 1 V2O5 ,1 PbUO2(V2O7)
1374,1 SnO2 + 2 SrCO3 ,1 Sr2SnO4 + 2 CO2
1375,0.333 Ba3V2O8 + 0.5*x Ti2O3 + 4.667-0.5*x V2O3 ,1 Ba(V10-xTix)O15 + 0.833 O2
1376,0.333 Ba3V2O8 + 4.667 V2O3 ,1 BaV10O15 + 0.833 O2
1377,0.333 Ba3V2O8 + 0.5*x Ti2O3 + 4.667-0.5*x V2O3 ,1 Ba(V10-xTix)O15 + 0.833 O2
1378,0.333 Ba3V2O8 + 4.667 V2O3 ,1 BaV10O15 + 0.833 O2
1379,3 BaCO3 + 1.5 La2O3 + 2 MnCO3 + 3 WO3 ,1 Ba3La3Mn2W3O18 + 5 CO2 + 0.25 O2
1380,0.333 Co3O4 + 0.667 SrO2 + 0.166 Y2O3 ,1 Sr2/3Y1/3CoO + 1.083 O2
1381,3 NaOH + 0.25 O2 + 1 RuO2 ,1 Na3RuO4 + 1.5 H2O
1382,1 MoO3 + 0.15 Rb2CO3 ,1 Rb0.3MoO3 + 0.15 CO2 + 0.075 O2
1383,1-x CeO2 + 0.5*x Nd2O3 + 0.25*x O2 ,1 Ce1-xNdxO2
1384,1 BaCO3 + 2 NH4H2PO4 + 1 ZrO2 ,1 BaZr(PO4)2 + 1 CO2 + 3 H2O + 2 NH3
1385,1 BaCO3 + 1 ZrO2 ,1 BaZrO3 + 1 CO2
1386,1 Cu + 2 Mg ,1 Mg2Cu
1387,1 BaCO3 + 2 NH4H2PO4 + 1 ZrO2 ,1 BaZr(PO4)2 + 1 CO2 + 3 H2O + 2 NH3
1388,1 BaCO3 + 1 ZrO2 ,1 BaZrO3 + 1 CO2
1389,3 Al2O3 + 2 TiO2 ,1 Al6Ti2O13
1390,1 Al2O3 + 1 SrCO3 ,1 SrAl2O4 + 1 CO2
1391,10 MoO3 + 3 Nd2O3 ,1 Nd6Mo10O39
1392,1 Al2O3 + 0.6 BaCO3 + 0.4 SrCO3 ,1 Ba0.6Sr0.4Al2O4 + 1 CO2
1393,5 Al(OH)3 + 0.75 Tb4O7 ,1 Tb3Al5O12 + 7.5 H2O + 0.375 O2 ; target Tb3Al5O12 with additives Ce via CeO2 ; target Tb3Al5O12 with additives Ce via CeO2
1394,1.3 BaCO3 + 0.7 CaCO3 + 1 SiO2 ,1 (Ba0.65Ca0.35)2SiO4 + 2 CO2
1395,11 BaCO3 + 4 WO3 ,1 Ba11W4O23 + 11 CO2 ; target Ba11W4O23 with additives Ru via RuO2 ; target Ba11W4O23 with additives Ru via RuO2
1396,1-x BaCO3 + 2 NH4H2PO4 + x SrCO3 + 1 ZrO2 ,1 SrxBa1-xZr(PO4)2 + 1 CO2 + 3 H2O + 2 NH3
1397,2 Bi + 3 Te ,1 Bi2Te3
1398,1 Bi2O3 + 1 MoO3 ,1 Bi2MoO6
1399,1 Na2WO4\u00b72H2O ,1 Na2WO4 + 2 H2O
1400,1 Co(C5H7O2)3 + 18 O2 + 0.5 Sb2O5 + 2 SrCO3 ,1 Sr2CoSbO6 + 17 CO2 + 10.5 H2O
1401,0.5 Al2O3 + 0.5 Sb2O5 + 2 SrCO3 ,1 Sr2AlSbO6 + 2 CO2
1402,3 K2CO3 + 5.4 Nb2O5 ,1 K6Nb10.8O30 + 3 CO2
1403,1 Co(C5H7O2)3 + 18 O2 + 0.5 Sb2O5 + 2 SrCO3 ,1 Sr2CoSbO6 + 17 CO2 + 10.5 H2O
1404,0.5 Al2O3 + 0.5 Sb2O5 + 2 SrCO3 ,1 Sr2AlSbO6 + 2 CO2
1405,1.5 In2O3 + 1.5 K2CO3 + 4 NH4H2PO4 ,1 K3In3P4O16 + 1.5 CO2 + 6 H2O + 4 NH3
1406,1 Al2O3 + 2 MgO ,1 Mg2Al2O5
1407,1 Li3NbO4 + 1 LiF ,1 Li4NbO4F
1408,0.5 Li2O + 0.5 Nb2O5 ,1 LiNbO2 + 0.5 O2
1409,1 Li2CO3 + 1 LiF + 1 TiO2 ,1 Li3TiO3F + 1 CO2
1410,1 Li3NbO4 + 1 LiF ,1 Li4NbO4F
1411,0.5 Li2O + 0.5 Nb2O5 ,1 LiNbO2 + 0.5 O2
1412,1 Li2CO3 + 1 LiF + 1 TiO2 ,1 Li3TiO3F + 1 CO2
1413,0.5 Lu2O3 + 0.5 V2O5 ,1 LuVO4
1414,0.5 Li2CO3 + 2-y MnCO3 + 0.75-0.5*y O2 + y TiO2 ,1 LiMn2-yTiyO4 + 2.5-y CO2
1415,2 Al(OH)3 + 1 Ni(CH3COO)2 + 2 [OH-] ,1 NiO-Al2O3 + 4 H2O + 2 [CH3COO-]
1416,1 Li3NbO4 + 1 LiF ,1 Li4NbO4F
1417,0.5 Li2O + 0.5 Nb2O5 ,1 LiNbO2 + 0.5 O2
1418,1 Li2CO3 + 1 LiF + 1 TiO2 ,1 Li3TiO3F + 1 CO2
1419,2 BaO + 3 CuO + 0.5 Y2O3 ,1 Ba2YCu3O6 + 0.25 O2
1420,1.5 Gd2O3 + 0.5 Nb2O5 ,1 Gd3NbO7
1421,1-x Al + x Mg + 1 Sc ,1 Sc(Al1-xMgx)
1422,2 BaO + 3 CuO + 0.5 Y2O3 ,1 Ba2YCu3O6 + 0.25 O2
1423,1.5 Gd2O3 + 0.5 Nb2O5 ,1 Gd3NbO7
